field_name,prefix
txtPeriodLoan,txt
txtPersonAccountNumberInKupa,txt
txtPersonAge,txt
txtPersonApartmentPostalCode,txt
txtPersonApartmentPostalCodeEnglish,txt
txtPersonBankAccount,txt
txtPersonBankBranch,txt
txtPersonBankBranchName,txt
txtPersonBankName,txt
txtPersonBankNumber,txt
txtPersonBirthCountry,txt
txtPersonBusinessType,txt
txtPersonCity,txt
txtPersonCityEnglish,txt
txtPersonCountry,txt
txtPersonCountryEnglish,txt
txtPersonCountryState,txt
txtPersonDateOfBirth,txt
txtPersonDebtsDetails,txt
txtPersonDmynihulHafkada,txt
txtPersonDmynihulZvira,txt
txtPersonDmynihulZviraForMaslul_,txt
txtPersonDmynihulZviraForMaslulIndex_,txt
txtPersonEmployerAddress,txt
txtPersonEmployerID,txt
txtPersonEmployerMobile,txt
txtPersonEmployerName,txt
txtPersonExtraIncomes,txt
txtPersonExtraTluyim,txt
txtPersonFamilyStatus,txt
txtpersonfilltext,txt
txtPersonFirstName,txt
txtPersonFirstNameEnglish,txt
txtPersonFullAddress,txt
txtPersonFullAddressEnglish,txt
txtPersonFullAdrees,txt
txtPersonFullBankAccount,txt
txtPersonFullName,txt
txtPersonFullName_1,txt
txtPersonFullName_2,txt
txtPersonFullNameEnglish,txt
txtPersonFullNameIdentifyKYC,txt
txtPersonFullNameWithNationalID,txt
txtPersonHouseNumber,txt
txtPersonHouseNumberEnglish,txt
txtPersonIdentifyTypeKYC,txt
txtPersonIPercentSum_,txt
txtPersonITIN,txt
txtPersonLastName,txt
txtPersonLastNameEnglish,txt
txtPersonMail,txt
txtPersonMail_2,txt
txtPersonMaleOrFemale,txt
txtPersonMaritalStatus,txt
txtPersonMaslulHishtalmutHafkadaPercent_,txt
txtPersonMaslulPercent_,txt
txtPersonMaslulPizuimPercent_,txt
txtPersonMaslulTagmulPercent_,txt
txtPersonMobile,txt
txtPersonNationalID,txt
txtPersonNationalID_1,txt
txtPersonNationalIDCountry,txt
txtPersonNationalIDIdentifyKYC,txt
txtPersonNumberInInstetue,txt
txtPersonNumberInInstitue,txt
txtPersonNumberPolicy,txt
txtPersonNumberPolicy_1,txt
txtPersonOccupation,txt
txtPersonPercentOrAmount_,txt
txtPersonPhone,txt
txtPersonPosition,txt
txtPersonProfession,txt
txtPersonRiskLevel,txt
txtPersonSalary,txt
txtPersonStateOfresidency,txt
txtPersonStreet,txt
txtPersonStreetandcity,txt
txtPersonStreetAndHouseNumber,txt
txtPersonStreetAndHouseNumber_2,txt
txtPersonStreetAndHouseNumberAndCity,txt
txtPersonStreetAndHouseNumberAndCityEnglish,txt
txtPersonStreetAndHouseNumberEnglish,txt
txtPersonStreetEnglish,txt
txtPersonTaxCountry_,txt
txtPersonTaxCountryEnglish_,txt
txtPersonTaxID_,txt
txtPersonWorkStatus,txt
txtPhoneSochen,txt
txtPlanner,txt
txtPlannerApartmentPostalCode,txt
txtPlannerCity,txt
txtplannerfilltext,txt
txtPlannerFirstName,txt
txtPlannerFullAddress,txt
txtPlannerFullName,txt
txtPlannerHouseNumber,txt
txtPlannerIsWorkForCompany,txt
txtPlannerLastName,txt
txtPlannerMail,txt
txtPlannerMobile,txt
txtPlannerName,txt
txtPlannerNameWithOfficeName,txt
txtPlannerNationalID,txt
txtPlannerNumber,txt
txtPlannerOfficePhoneNumber,txt
txtPlannerOfficePhoneNumberAndFaxWithHeaders,txt
txtPlannerPensyoniLisenceNumber,txt
txtPlannerPhone,txt
txtPlannerStreet,txt
txtPlannerStreetandcity,txt
txtPlannerStreetAndHouseNumber,txt
txtPlannerStreetAndHouseNumber_2,txt
txtPlannerStreetAndHouseNumberAndCity,txt
txtPlannerStreetAndHouseNumberAndCityAndMikud,txt
txtPlannerType,txt
txtPreviousPersonMaslulByIndex_,txt
txtPreviousPersonMaslulPercent_,txt
